Round,Drafted,Position,Team
Avengers1,Marshawn Lynch,SEA,RB
Ramrod1,Adrian Peterson,MIN,RB
Pecan1,Eddie Lacy,GB,RB
Havana1,Jamaal Charles,KC,RB
WWYC1,Le'Veon Bell,PIT,RB
Blowfish1,DeMarco Murray,PHI,RB
RoughNecks1,Jeremy Hill,CIN,RB
Rynos1,C.J. Anderson,DEN,RB
Mahi1,Dez Bryant,DAL,WR
Shooters1,Rob Gronkowski,NE,TE
Buzzards1,Mark Ingram,NO,RB
Roadside1,Antonio Brown,PIT,WR
Ransackers1,Demaryius Thomas,DEN,WR
RiverCity1,Andrew Luck,IND,QB
RiverCity2,Carlos Hyde,SF,RB
Ransackers2,Randall Cobb,GB,WR
Roadside2,Frank Gore,IND,RB
Buzzards2,Matt Forte,CHI,RB
Shooters2,Odell Beckham Jr.,NYG,WR
Mahi2,Calvin Johnson,DET,WR
Rynos2,Aaron Rodgers,GB,QB
RoughNecks2,Julio Jones,ATL,WR
Blowfish2,Alfred Morris,WAS,RB
WWYC2,Justin Forsett,BAL,RB
Havana2,LeSean McCoy,BUF,RB
Pecan2,Lamar Miller,MIA,RB
Ramrod2,A.J. Green,CIN,WR
Avengers2,Dustin Hopkins,HOU,WR
Avengers3,Alshon Jeffery,CHI,WR
Ramrod3,Jimmy Graham,SEA,TE
Pecan3,Ty Hilton,IND,WR
Havana3,Golden Tate,DET,WR
WWYC3,Mike Evans,TB,WR
Blowfish3,Brandin Cooks,NO,WR
RoughNecks3,Emmanuel Sanders,DEN,WR
Rynos3,Davante Adams,GB,WR
Mahi3,Latavius Murray,OAK,RB
Shooters3,Joique Bell,DET,RB
Buzzards3,Joseph Randle,DAL,RB
Roadside3,Melvin Gordon,SD,RB
Ransackers3,LeGarrette Blount,NE,RB
RiverCity3,Rashad Jennings,NYG,RB
RiverCity4,Andre Johnson,IND,WR
Ransackers4,Andre Williams,NYG,RB
Roadside4,Todd Gurley,STL,RB
Buzzards4,Peyton Manning,DEN,QB
Shooters4,Andre Ellington,ARI,RB
Mahi4,Jordan Matthews,PHI,WR
Rynos4,Arian Foster,HOU,RB
RoughNecks4,Christopher Ivory,NYJ,RB
Blowfish4,Isaiah Crowell,CLE,RB
WWYC4,Brandon Marshall,NYJ,WR
Havana4,Keenan Allen,SD,WR
Pecan4,Jonathan Stewart,CAR,RB
Ramrod4,Nelson Agholor,PHI,WR
Avengers4,T.J. Yeldon,JAC,RB
Avengers5,DeSean Jackson,WAS,WR
Ramrod5,Drew Brees,NO,QB
Pecan5,Julian Edelman,NE,WR
Havana5,Tom Brady,NE,QB
WWYC5,Ameer Abdullah,DET,RB
Blowfish5,Jarvis Landry,MIA,WR
RoughNecks5,Doug Martin,TB,RB
Rynos5,Sammy Watkins,BUF,WR
Mahi5,Giovani Bernard,CIN,RB
Shooters5,Russell Wilson,SEA,QB
Buzzards5,Jeremy Maclin,KC,WR
Roadside5,Amari Cooper,OAK,WR
Ransackers5,Knile Davis,KC,RB
RiverCity5,Michael Floyd,ARI,WR
RiverCity6,Bishop Sankey,TEN,RB
Ransackers6,Ben Roethlisberger,PIT,QB
