Round,Drafted,Position,Team
Roadside6,Ryan Mathews,PHI,RB
Buzzards6,Charles Johnson,MIN,WR
Shooters6,Tre Mason,STL,RB
Mahi6,Tony Romo,DAL,QB
Rynos6,C.J. Spiller,NO,RB
RoughNecks6,Travis Kelce,KC,TE
Blowfish6,Roddy White,ATL,WR
WWYC6,Mike Wallace,MIN,WR
Havana6,Devonta Freeman,ATL,RB
Pecan6,Vincent Jackson,TB,WR
Ramrod6,Tevin Coleman,ATL,RB
Avengers6,Matthew Stafford,DET,QB
Avengers7,Greg Olsen,CAR,TE
Ramrod7,Larry Fitzgerald,ARI,WR
Pecan7,Shane Vereen,NYG,RB
Havana7,Kenny Stills,MIA,WR
WWYC7,DeAngelo Williams,PIT,RB
Blowfish7,Eli Manning,NYG,QB
RoughNecks7,Darren McFadden,DAL,RB
Rynos7,Markus Wheaton,PIT,WR
Mahi7,Alfred Blue,HOU,RB
Shooters7,Eric Decker,NYJ,WR
Buzzards7,Terrance Williams,DAL,WR
Roadside7,Martavis Bryant,PIT,WR
Ransackers7,David Cobb,TEN,RB
RiverCity7,Brandon LaFell,NE,WR
RiverCity8,Montee Ball,DEN,RB
Ransackers8,Torrey Smith,SF,WR
Roadside8,Cam Newton,CAR,QB
Buzzards8,Cameron Artis-Payne,CAR,RB
Shooters8,Charles Sims,TB,RB
Mahi8,Danny Woodhead,SD,RB
Rynos8,Julius Thomas,JAC,TE
RoughNecks8,Sam Bradford,PHI,QB
Blowfish8,Chris Polk,HOU,RB
WWYC8,Philip Rivers,SD,QB
Havana8,Antonio Gates,SD,TE
Pecan8,Marques Colston,NO,WR
Ramrod8,Darren Sproles,PHI,RB
Avengers8,Victor Cruz,NYG,WR
Avengers9,Reggie Bush,SF,RB
Ramrod9,Stephen Gostkowski,NE,K
Pecan9,Matt Ryan,ATL,QB
Havana9,Jordan Cameron,MIA,TE
WWYC9,Dwayne Allen,IND,TE
Blowfish9,Ty Montgomery,GB,WR
Roadside9,Devin Funchess,CAR,WR
Rynos9,Duke Johnson,CLE,RB
Roadside10,Ronnie Hillman,DEN,RB
Shooters9,Marvin Jones,CIN,WR
Buzzards9,John Brown,ARI,WR
Roadside11,Zach Ertz,PHI,TE
Ransackers9,Vernon Davis,SF,TE
RiverCity9,Martellus Bennett,CHI,TE
RiverCity10,James Starks,GB,RB
Ransackers10,Steve Smith,BAL,WR
Roadside12,Mason Crosby,GB,K
Buzzards10,Kyle Rudolph,MIN,TE
Shooters10,MarQueis Gray,NE,RB
Mahi10,Owen Daniels,DEN,TE
Rynos10,Breshad Perriman,BAL,WR
RoughNecks10,David Johnson,ARI,RB
Blowfish10,Jason Witten,DAL,TE
WWYC10,Pierre Garcon,WAS,WR
Havana10,Lorenzo Taliaferro,BAL,RB
Pecan10,Anquan Boldin,SF,WR
Ramrod10,Devante Parker,MIA,WR
Avengers10,Terrance West,CLE,RB
Avengers11,Percy Harvin,BUF,WR
Ramrod11,Daniel Herron,IND,RB
Pecan11,Jay Ajayi,MIA,RB
Havana11,Adam Vinatieri,IND,K
WWYC11,Denard Robinson,JAC,RB
Blowfish11,Kendall Wright,TEN,WR
Roadside13,Ryan Tannehill,MIA,QB
Rynos11,Steven Hauschka,SEA,K
Mahi11,Fred Jackson,BUF,RB
Shooters11,Jeff Janis,GB,WR
Buzzards11,Allen Robinson,JAC,WR
Roadside14,Cody Latimer,DEN,WR
Ransackers11,Dan Bailey,DAL,K
RiverCity11,Dwayne Bowe,CLE,WR
RiverCity12,Greg Jennings,MIA,WR
Ransackers12,Zach Zenner,Det,RB
Roadside15,Richard Rodgers,GB,TE
Buzzards12,Joe Flacco,BAL,QB
Shooters12,Doug Baldwin,SEA,WR
Mahi12,Steve Johnson,SD,WR
Rynos12,Josh Hill,NO,TE
RoughNecks12,Eddie Royal,CHI,WR
Blowfish12,Thomas Rawls,SEA,RB
WWYC12,Teddy Bridgewater,MIN,QB
Havana12,Cordarrelle Patterson,MIN,WR
Pecan12,Cody Parkey,PHI,K
Ramrod12,Coby Fleener,IND,TE
Avengers12,Bilal Powell,NYJ,RB
Avengers13,Colin Kaepernick,SF,QB
Ramrod13,Donte Moncrief,IND,WR
Pecan13,Larry Donnell,NYG,TE
Havana13,Jameis Winston,TB,QB
WWYC13,Justin Tucker,BAL,K
Blowfish13,Matt Bryant,ATL,K
RoughNecks13,Brian Quick,STL,WR
Rynos13,Reggie Wayne,FA,WR
Mahi13,Blair Walsh,MIN,K
Shooters13,Matt Prater,DET,K
Buzzards13,Brandon McManus,Den,K
Roadside16,Nick Novak,SD,K
Ransackers13,Andy Dalton,CIN,QB
RiverCity13,Robbie Gould,CHI,K
RiverCity14,Eric Ebron,DET,TE
Ransackers14,Phillip Dorsett,IND,WR
Roadside17,,,
Buzzards14,Caleb Sturgis,MIA,K
Shooters14,Carson Palmer,ARI,QB
Mahi14,Virgil Green,DEN,TE
Rynos14,Chris Johnson,NYJ,RB
RoughNecks14,Brandon Coleman,NO,WR
Blowfish14,Jay Cutler,CHI,QB
WWYC14,Benjamin Watson,NO,TE
Havana14,Khiry Robinson,NO,RB
Pecan14,Alex Smith,KC,QB
Ramrod14,Derek Carr,OAK,QB
Avengers14,Heath Miller,PIT,TE
Avengers15,Mike Nugent,CIN,K
Ramrod15,Jerick McKinnon,MIN,RB
Pecan15,Delanie Walker,TEN,TE
Havana15,Marqise Lee,JAC,WR
WWYC15,Rueben Randle,NYG,WR
Blowfish15,Ladarius Green,SD,TE
RoughNecks15,Dan Carpenter,BUF,K
Rynos15,Nick Foles,STL,QB
Mahi15,Marcus Mariota,TEN,QB
Shooters15,J.J. Watt,HOU,TE
Buzzards15,Ka'Deem Carey,CHI,RB
Roadside17,,,
Ransackers15,Tyler Eifert,CIN,TE
RiverCity15,Sebastian Janikowski,OAK,K
RiverCity16,Brian Hoyer,HOU,QB
Ransackers16,Phil Dawson,SF,K
Roadside18,,,
Buzzards16,Dave Moore,FA,TE
Shooters16,Chandler Catanzaro,ARI,K
Mahi16,Garrett Hartley,Pit,K
Rynos16,Graham Gano,CAR,K
RoughNecks16,Jordan Reed,WAS,TE
Blowfish16,Greg Zuerlein,STL,K
WWYC16,Josh Brown,NYG,K
Havana16,Randy Bullock,HOU,K
Pecan16,Nate Kaeding,FA,K
Ramrod16,Shayne Graham,NO,K
Avengers16,Dustin Hopkins,Hou,K
RoughNecks17,Connor Barth,TB,K
RoughNecks18,Blake Bortles,JAC,QB
Mahi17,Philly Brown,CAR,WR
