Round,Drafted,Position,Team
RoughNecks1,Saquon Barkley,NYG,RB
Blowfish1,Alvin Kamara,NO,RB
Pecan1,Christian McCaffrey,CAR,RB
Ransackers1,Ezekiel Elliott,DAL,RB
Ramrod1,Nick Chubb,CLE,RB
RiverCity1,Le'Veon Bell,NYJ,RB
Buzzards1,Todd Gurley,LAR,RB
Rynos1,David Johnson,ARI,RB
Mahi1,Joe MIxon,CIN,RB
Roadside1,James Conner,PIT,RB
Shooters1,DeAndre Hopkins,HOU,WR
Avengers1,Dalvin Cook,MIN,RB
WWYC1,Davante Adams,GB,WR
Havana1,Damien Williams,KC,RB
Havana2,Mark Ingram,BAL,RB
WWYC2,Sony Michel,NE,RB
Avengers2,Devonta Freeman,ATL,RB
Shooters2,Kerryon Johnson,DET,RB
Roadside2,Tyreek Hill,KC,WR
Mahi2,Leonard Fournette,JAC,RB
Rynos2,Patrick Mahomes,KC,QB
Buzzards2,Marlon Mack,IND,RB
RiverCity2,Aaron Jones,GB,RB
Ramrod2,Travis Kelce,KC,TE
Ransackers2,Derrick Henry,TEN,RB
Pecan2,Josh Jacobs,OAK,RB
Blowfish2,Chris Carson,SEA,RB
RoughNecks2,Antonio Brown,OAK,WR
RoughNecks3,Juju Smith-Schuster,PIT,WR
Blowfish3,Odell Beckham Jr.,CLE,WR
Pecan3,Julio Jones,ATL,WR
Ransackers3,Jordan Howard,PHI,RB
Ramrod3,Melvin Gordon,LAC,RB
RiverCity3,Michael Thomas,NO,WR
Buzzards3,Mike Evans,TB,WR
Rynos3,David Montgomery,CHI,RB
Mahi3,Amari Cooper,DAL,WR
Roadside3,Miles Sanders,PHI,RB
Shooters3,Kenny Golladay,DET,WR
Avengers3,Keenan Allen,LAC,WR
WWYC3,Phillip Lindsay,DEN,RB
Havana3,James White,NE,RB
Havana4,Stefon Diggs,MIN,WR
WWYC4,Calvin Ridley,ATL,WR
Avengers4,Adam Thielen,MIN,WR
Shooters4,Lamar Miller,HOU,RB
Roadside4,Kenyan Drake,MIA,RB
Mahi4,Chris Godwin,TB,WR
Rynos4,Derrius Guice,WAS,RB
Buzzards4,Mike WIlliams,LAC,WR
RiverCity4,D.J. Moore,CAR,WR
Ramrod4,T.Y. Hilton,IND,WR
Ransackers4,Julian Edelman,NE,WR
Pecan4,Zach Ertz,PHI,TE
Blowfish4,Robert Woods,LAR,WR
RoughNecks4,Josh Gordon,NE,WR
RoughNecks5,Latavius Murray,NO,RB
Blowfish5,Sammy Watkins,KC,WR
Pecan5,Austin Ekeler,LAC,RB
Ransackers5,George Kittle,SF,TE
Ramrod5,Tevin Coleman,SF,RB
RiverCity5,Marvin Jones,DET,WR
Buzzards5,Brandin Cooks,LAR,WR
Rynos5,Tyler Lockett,SEA,WR
Mahi5,LeSean McCoy,BUF,RB
Roadside5,Cooper Kupp,LAR,WR
Shooters5,Royce Freeman,DEN,RB
Avengers5,Alshon Jeffery,PHI,WR
WWYC5,Peyton Barber,TB,RB
Havana5,A.J. Green,CIN,WR
Havana6,Aaron Rodgers,GB,QB
WWYC6,Robby Anderson,NYJ,WR
Avengers6,Tarik Cohen,CHI,RB
Shooters6,Tyler Boyd,CIN,WR
Roadside6,Rashaad Penny,SEA,RB
Mahi6,Kalen Ballage,MIA,RB
Rynos6,Will Fuller,HOU,WR
Buzzards6,Darrell Henderson,LAR,RB
RiverCity6,Corey Davis,TEN,WR
Ramrod6,Jarvis Landry,CLE,WR
Ransackers6,Tony Pollard,DAL,RB
Pecan6,Darwin Thompson,KC,RB
Blowfish6,Justin Jackson,LAC,RB
RoughNecks6,Hunter Henry,LAC,TE
RoughNecks7,Duke Johnson,HOU,RB
Blowfish7,O.J. Howard,TB,TE
Pecan7,Nyheim Hines,IND,RB
Ransackers7,Deshaun Watson,HOU,QB
Ramrod7,Allen Robinson,CHI,WR
RiverCity7,Baker Mayfield,CLE,QB
Buzzards7,Jaylen Samuels,PIT,RB
Rynos7,Evan Engram,NYG,TE
Mahi7,Christian Kirk,ARI,WR
Roadside7,Dante Pettis,SF,WR
Shooters7,Kareem Hunt,CLE,RB
Avengers7,Jared Cook,NO,TE
WWYC7,Matt Breida,SF,RB
Havana7,Curtis Samuel,CAR,WR
Havana8,Devin Funchess,IND,WR
WWYC8,Drew Brees,NO,QB
Avengers8,Dede Westbrook,JAC,WR
Shooters8,David Njoku,CLE,TE
Roadside8,Larry Fitzgerald,ARI,WR
Mahi8,Courtland Sutton,DEN,WR
Rynos8,Geronimo Allison,GB,WR
Buzzards8,Adrian Peterson,WAS,RB
RiverCity8,Eric Ebron,IND,TE
Ramrod8,Ronald Jones,TB,RB
Ransackers8,John Brown,BUF,WR
Pecan8,MIchael Gallup,DAL,WR
Blowfish8,Kyler Murray,ARI,QB
RoughNecks8,Justice Hill,BAL,RB
RoughNecks9,Damien Harris,NE,RB
Blowfish9,Alexander Mattison,MIN,RB
Pecan9,Emmanuel Sanders,DEN,WR
Ransackers9,Devante Parker,MIA,WR
Ramrod9,Cam Newton,CAR,QB
RiverCity9,Dion Lewis,TEN,RB
Buzzards9,Donte Moncrief,PIT,WR
Rynos9,Greg Zuerlein,LAR,K
Mahi9,Carson Wentz,PHI,QB
Roadside9,Malcolm Brown,LAR,RB
Shooters9,Andrew Luck,IND,QB
Avengers9,Matt Ryan,ATL,QB
WWYC9,Austin Hooper,ATL,TE
Havana9,Ito Smith,ATL,RB
Havana10,Jamaal Williams,GB,RB
WWYC10,D.K. Metcalf,SEA,WR
Avengers10,C.J. Anderson,DET,RB
Shooters10,Devin Singletary,BUF,RB
Roadside10,Dak Prescott,DAL,QB
Mahi10,Trey Burton,CHI,TE
Rynos10,DeSean Jackson,PHI,WR
Buzzards10,Vance McDonald,PIT,TE
RiverCity10,Golden Tate,NYG,WR
Ramrod10,Sterling Shepard,NYG,WR
Ransackers10,Marquez Valdes-Scantling,GB,WR
Pecan10,James Washington,PIT,WR
Blowfish10,N'Keal Harry,NE,WR
RoughNecks10,Russell Wilson,SEA,QB
RoughNecks11,Harrison Butker,KC,K
Blowfish11,T.J. Hockenson,DET,TE
Pecan11,Justin Tucker,BAL,K
Ransackers11,Keke Coutee,HOU,WR
Ramrod11,Frank Gore,BUF,RB
RiverCity11,Darren Sproles,PHI,RB
Buzzards11,Ben Roethlisberger,PIT,QB
Rynos11,Dare Ogunbowale,TB,RB
Mahi11,Giovani Bernard,CIN,RB
Roadside11,Kyle Rudolph,MIN,TE
Shooters11,Anthony Miller,CHI,WR
Avengers11,Gus Edwards,BAL,RB
WWYC11,Parris Campbell,IND,WR
Havana11,Stephen Gostkowski,NE,K
Havana12,Kenny Stills,MIA,WR
WWYC12,Wil Lutz,NO,K
Avengers12,Jared Goff,LAR,QB
Shooters12,Jack Doyle,IND,TE
Roadside12,Tom Brady,NE,QB
Mahi12,Jimmy Graham,GB,TE
Rynos12,Tre'Quan Smith,NO,WR
Buzzards12,Jameis Winston,TB,QB
RiverCity12,Philip Rivers,LAC,QB
Ramrod12,Lamar Jackson,BAL,QB
Ransackers12,Ka'imi Fairbairn,HOU,K
Pecan12,Jamison Crowder,NYJ,WR
Blowfish12,Derek Carr,OAK,QB
RoughNecks12,Kirk Cousins,MIN,QB
RoughNecks13,Dallas Goedert,PHI,TE
Blowfish13,Ty Montgomery,NYJ,RB
Pecan13,Sam Darnold,NYJ,QB
Ransackers13,Matthew Stafford,DET,QB
Ramrod13,Robbie Gould,SF,K
RiverCity13,Matt Prater,DET,K
Buzzards13,Mason Crosby,GB,K
Rynos13,Jay Ajayi,FA,RB
Mahi13,Jake Elliott,PHI,K
Roadside13,Marquise Brown,BAL,WR
Shooters13,Josh Allen,BUF,QB
Avengers13,Mohamed Sanu,ATL,WR
WWYC13,Mitchell Trubisky,CHI,QB
Havana13,Noah Fant,DEN,TE
Havana14,Matt Lacosse,NE,TE
WWYC14,Delanie Walker,TEN,TE
Avengers14,Greg Olsen,CAR,TE
Shooters14,Brett Maher,DAL,K
Roadside14,Jordan Reed,WAS,TE
Mahi14,Jimmy Garoppolo,SF,QB
Rynos14,Mark Andrews,BAL,TE
Buzzards14,Mike Badgley,LAC,K
RiverCity14,Jason Witten,DAL,TE
Ramrod14,Chris Conley,JAC,WR
Ransackers14,Chase Edmonds,ARI,RB
Pecan14,Andy Dalton,CIN,QB
Blowfish14,Giorgio Tavecchio,ATL,K
RoughNecks14,Albert Wilson,MIA,WR
RoughNecks15,Jalen Hurd,SF,WR
Blowfish15,Mecole Hardman,KC,WR
Pecan15,Chris Herndon,NYJ,TE
Ransackers15,Dan Bailey,MIN,K
Ramrod15,Ben Watson,NE,TE
RiverCity15,Adam VInatieri,IND,K
Buzzards15,Michael Crabtree,ARZ,WR
Rynos15,Marcus Mariota,TEN,QB
Mahi15,Preston WIliams,MIA,WR
Roadside15,Greg Joseph,CLE,K
Shooters15,Zay Jones,BUF,WR
Avengers15,Ryan Succop,TEN,K
WWYC15,Jason Myers,SEA,K
Havana15,Nick Foles,JAC,QB
Havana16,Rodger Sack,ARI,K
WWYC16,Dexter Williams,GB,RB
Avengers16,Chris Boswell,PIT,K
Shooters16,Brandon McManus,DEN,K
Roadside16,Austin Seibert,CLE,K
Mahi16,Daniel Carlson,OAK,K
Rynos16,Graham Gano,CAR,K
Buzzards16,Dave Moore,FA,TE
RiverCity16,Alfred Blue,JAC,RB
Ramrod16,Josh Lambo,JAC,K
Ransackers16,Darren Waller,OAK,TE
Pecan16,Nate Kaeding,FA,K
Blowfish16,Cairo Santos,TB,K
RoughNecks16,Kaare Vedvik,MIN,K
