Round,Drafted,Position,Team
Havana10,Dorial Green-Beckham,PHI,WR
Mahi10,Tyler Gaffney,NE,RB
Mahi11,Will Fuller,HOU,WR
Havana11,Javorius Allen,BAL,RB
WWYC11,Jameis Winston,TB,QB
Blowfish11,Kamar Aiken,BAL,WR
Roadside11,Matthew Stafford,DET,QB
Ransackers11,Andy Dalton,CIN,QB
Rynos11,Steven Hauschka,SEA,K
RoughNecks11,Matt Ryan,ATL,QB
RiverCity14,Justin Tucker,BAL,K
Buzzards11,Tyler Boyd,CIN,WR
Shooters12,Mohamed Sanu,ATL,WR
Pecan11,Delanie Walker,TEN,TE
Avengers11,Paul Perkins,NYG,RB
Ramrod11,Phillip Dorsett,IND,WR
Ramrod12,Marcus Mariota,TEN,QB
Avengers12,Travis Benjamin,SD,WR
Pecan12,Adam Vinatieri,IND,K
Shooters13,Brock Osweiler,HOU,QB
Buzzards12,Tim Hightower,NO,RB
RiverCity15,Mason Crosby,GB,K
RoughNecks12,Alfred Morris,DAL,RB
Rynos12,C.J. Prosise,SEA,RB
Ransackers12,Dan Bailey,DAL,K
Roadside12,Davante Adams,GB,WR
Blowfish12,Terrance West,BAL,RB
WWYC12,Chris Johnson,ARI,RB
Havana12,Dion Lewis,NE,RB
Mahi12,Shaun Draughn,SF,RB
Mahi13,Chandler Catanzaro,ARI,K
Havana13,Anquan Boldin,DET,WR
WWYC13,Reggie Bush,BUF,RB
Blowfish13,Alex Smith,KC,QB
Roadside13,Dak Prescott,DAL,QB
Ransackers13,Kenneth Dixon,BAL,RB
Rynos13,Vincent Jackson,TB,WR
RoughNecks13,Terrelle Pryor,CLE,WR
RiverCity16,Vance McDonald,SF,TE
Buzzards13,Brandon McManus,DEN,K
Shooters14,Austin Seferian-Jenkins,TB,TE
Pecan13,Shane Vereen,NYG,RB
Avengers13,Matt Prater,DET,K
Ramrod13,Wendell Smallwood,PHI,RB
Ramrod14,Blair Walsh,MIN,K
Avengers14,Robert Griffin,CLE,QB
Pecan14,Breshad Perriman,BAL,WR
Shooters15,Graham Gano,CAR,K
Buzzards14,Josh Doctson,WAS,WR
RiverCity14,,,
RoughNecks14,Josh Brown,NYG,K
Rynos14,Jared Cook,GB,TE
Ransackers14,Charles Johnson,MIN,WR
Roadside14,Kyle Rudolph,MIN,TE
Blowfish14,Cairo Santos,KC,K
WWYC14,Laquon Treadwell,MIN,WR
Havana14,Teddy Bridgewater,MIN,QB
Mahi14,Tajae Sharpe,TEN,WR
Mahi15,Austin Hooper,ATL,TE
Havana15,Jordan Cameron,MIA,TE
WWYC15,Roberto Aguayo,TB,K
Blowfish15,Jason Witten,DAL,TE
Roadside15,Josh Lambo,SD,K
Ransackers15,Charles Clay,BUF,TE
Rynos15,Joe Flacco,BAL,QB
RoughNecks15,Ted Ginn,CAR,WR
RiverCity15,,,
Buzzards15,Mike Nugent,CIN,K
Shooters16,Chris Boswell,PIT,K
Pecan15,Ryan Tannehill,MIA,QB
Avengers15,Charcandrick West,KC,RB
Ramrod15,Clive Walford,OAK,TE
Ramrod16,Dustin Hopkins,WAS,K
Avengers16,Matt Bryant,ATL,K
Pecan16,Nate Kaeding,FA,K
Shooters16,,,
Buzzards16,Ryan Fitzpatrick,NYJ,QB
RiverCity16,,,
RoughNecks16,Sebastian Janikowski,OAK,K
Rynos16,Nick Novak,HOU,K
Ransackers16,Dan Carpenter,BUF,K
Roadside16,Kai Forbath,NO,K
Blowfish16,Robbie Gould,CHI,K
WWYC16,Cody Parkey,PHI,K
Havana16,Caleb Sturgis,PHI,K
Mahi16,Jay Cutler,CHI,QB
RoughNecks17,Will Tye,NYG,TE
RoughNecks18,Mike Wallace,BAL,WR
Mahi17,Jason Myers,JAC,K
Buzzards17,Dave Moore,FA,TE
