Round,Drafted,Position,Team
Mahi1,Adrian Peterson,MIN,RB
Havana1,Todd Gurley,LA,RB
WWYC1,David Johnson,ARI,RB
Blowfish1,Ezekiel Elliott,DAL,RB
Roadside1,Odell Beckham Jr.,NYG,WR
Ransackers1,Eddie Lacy,GB,RB
Rynos1,Lamar Miller,HOU,RB
RoughNecks1,Antonio Brown,PIT,WR
RiverCity1,Aaron Rodgers,GB,QB
Buzzards1,Mark Ingram,NO,RB
Shooters1,Rob Gronkowski,NE,TE
Pecan1,Devonta Freeman,ATL,RB
Avengers1,Cam Newton,CAR,QB
Ramrod1,Jeremy Hill,CIN,RB
Ramrod2,Le'Veon Bell,PIT,RB
Avengers2,Julio Jones,ATL,WR
Pecan2,Thomas Rawls,SEA,RB
Shooters2,Doug Martin,TB,RB
Buzzards2,Jamaal Charles,KC,RB
RiverCity2,C.J. Anderson,DEN,RB
RoughNecks2,LeSean McCoy,BUF,RB
Rynos2,A.J. Green,CIN,WR
Ransackers2,Ryan Mathews,PHI,RB
Roadside2,Dez Bryant,DAL,WR
Blowfish2,Allen Robinson,JAC,WR
WWYC2,DeAndre Hopkins,HOU,WR
Havana2,Amari Cooper,OAK,WR
Mahi2,Latavius Murray,OAK,RB
Mahi3,Carlos Hyde,SF,RB
Havana3,Demarco Murray,TEN,RB
WWYC3,Brandon Marshall,NYJ,WR
Blowfish3,Keenan Allen,SD,WR
Roadside3,Jordy Nelson,GB,WR
Ransackers3,Chris Ivory,JAC,RB
Rynos3,Andrew Luck,IND,QB
RoughNecks3,Mike Evans,TB,WR
RiverCity3,Jonathan Stewart,CAR,RB
Buzzards3,Matt Jones,WAS,RB
Shooters3,Jeremy Langford,CHI,RB
Pecan3,Sammy Watkins,BUF,WR
Avengers3,T.Y. Hilton,IND,WR
Ramrod3,Randall Cobb,GB,WR
Ramrod4,Brandin Cooks,NO,WR
Avengers4,Duke Johnson,CLE,RB
Pecan4,Alshon Jeffery,CHI,WR
Shooters4,Matt Forte,NYJ,RB
Buzzards4,Russell Wilson,SEA,QB
RiverCity4,Jarvis Landry,MIA,WR
RoughNecks4,Frank Gore,IND,RB
Rynos4,LeGarrette Blount,NE,RB
Ransackers4,Donte Moncrief,IND,WR
Roadside4,Rashad Jennings,NYG,RB
Blowfish4,Isaiah Crowell,CLE,RB
WWYC4,Kelvin Benjamin,CAR,WR
Havana4,Julian Edelman,NE,WR
Mahi4,Drew Brees,NO,QB
Mahi5,Demaryius Thomas,DEN,WR
Havana5,Doug Baldwin,SEA,WR
WWYC5,Arian Foster,MIA,RB
Blowfish5,Michael Floyd,ARI,WR
Roadside5,Ameer Abdullah,DET,RB
Ransackers5,Jeremy Maclin,KC,WR
Rynos5,Derrick Henry,TEN,RB
RoughNecks5,Jordan Reed,WAS,TE
RiverCity5,Golden Tate,DET,WR
Buzzards5,Eric Decker,NYJ,WR
Shooters5,Jordan Matthews,PHI,WR
Pecan5,Danny Woodhead,SD,RB
Avengers5,Giovani Bernard,CIN,RB
Ramrod5,Deangelo Williams,PIT,RB
Ramrod6,Melvin Gordon,SD,RB
Avengers6,Tyler Lockett,SEA,WR
Pecan6,Greg Olsen,CAR,TE
Shooters6,John Brown,ARI,WR
Buzzards6,Larry Fitzgerald,ARI,WR
RiverCity6,Theo Riddick,DET,RB
RoughNecks6,Tom Brady,NE,QB
Rynos6,Marvin Jones,DET,WR
Ransackers6,Allen Hurns,JAC,WR
Roadside6,Darren Sproles,PHI,RB
Blowfish6,Bilal Powell,NYJ,RB
WWYC6,Justin Forsett,BAL,RB
Havana6,T.J. Yeldon,JAC,RB
Mahi6,DeSean Jackson,WAS,WR
Mahi7,Devante Parker,MIA,WR
Havana7,Ben Roethlisberger,PIT,QB
WWYC7,Coby Fleener,NO,TE
Blowfish7,Eli Manning,NYG,QB
Roadside7,Sterling Shepard,NYG,WR
Ransackers7,Carson Palmer,ARI,QB
Rynos7,Gary Barnidge,CLE,TE
RoughNecks7,Jay Ajayi,MIA,RB
RiverCity7,Emmanuel Sanders,DEN,WR
Buzzards7,Antonio Gates,SD,TE
Shooters7,Josh Gordon,CLE,WR
Pecan7,Michael Crabtree,OAK,WR
Avengers7,Jimmy Graham,SEA,TE
Ramrod7,Devin Funchess,CAR,WR
Ramrod8,Torrey Smith,SF,WR
Avengers8,Charles Sims,TB,RB
Pecan8,Kevin White,CHI,WR
Shooters8,Tavon Austin,LA,WR
Buzzards8,Tevin Coleman,ATL,RB
RiverCity8,C.J. Spiller,NO,RB
RoughNecks8,Spencer Ware,KC,RB
Rynos8,Markus Wheaton,PIT,WR
Ransackers8,Devontae Booker,DEN,RB
Roadside8,Christine Michael,SEA,RB
Blowfish8,Travis Kelce,KC,TE
WWYC8,Tyler Eifert,CIN,TE
Havana8,Stephen Gostkowski,NE,K
Mahi8,Julius Thomas,JAC,TE
Shooters9,James White,NE,RB
Havana9,Zach Ertz,PHI,TE
WWYC9,Michael Thomas,NO,WR
Blowfish9,Willie Snead,NO,WR
Roadside9,Jerick McKinnon,MIN,RB
Ransackers9,Martellus Bennett,NE,TE
Rynos9,DeAndre Washington,OAK,RB
RiverCity9,Stefon Diggs,MIN,WR
RiverCity10,Ladarius Green,PIT,TE
Buzzards9,Corey Coleman,CLE,WR
Shooters10,Blake Bortles,JAC,QB
Pecan9,Kirk Cousins,WAS,QB
Avengers9,Steve Smith,BAL,WR
Ramrod9,Zach Miller,CHI,TE
Ramrod10,Philip Rivers,SD,QB
Avengers10,Eric Ebron,DET,TE
Pecan10,James Starks,GB,RB
Shooters11,Jordan Howard,CHI,RB
RiverCity11,Sammie Coates,PIT,WR
RiverCity12,Darren McFadden,DAL,RB
RiverCity13,Tyrod Taylor,BUF,QB
Rynos10,Kenny Stills,MIA,WR
Ransackers10,Chris Hogan,NE,WR
Roadside10,Dwayne Allen,IND,TE
Blowfish10,Chris Thompson,WAS,RB
WWYC10,Derek Carr,OAK,QB
